,Unnamed: 0,Elapsed Time (sec),Left Stride Interval (sec),Right Stride Interval (sec),Left Swing Interval (sec),Right Swing Interval (sec),Left Swing Interval (% of stride),Right Swing Interval (% of stride),Left Stance Interval (sec),Right Stance Interval (sec),Left Stance Interval (% of stride),Right Stance Interval (% of stride),Double Support Interval (sec),Double Support Interval (% of stride),group,participant,gait,center_time,round_time
6376,6376,22.3867,1.0767,1.1033,0.37,0.3667,34.37,33.23,0.7067,0.7367,65.63,66.77,0.34,31.58,control,control16,0.5449999999999999,0.0,0.0
6377,6377,23.5033,1.1167,1.1067,0.39,0.4133,34.93,37.35,0.7267,0.6933,65.07,62.65,0.3133,28.06,control,control16,0.55585,1.1165999999999983,1.0
6378,6378,24.6033,1.1,1.0967,0.3633,0.3967,33.03,36.17,0.7367,0.7,66.97,63.83,0.34,30.91,control,control16,0.549175,2.2165999999999997,2.0
6379,6379,25.7,1.0967,1.0967,0.3733,0.4033,34.04,36.78,0.7233,0.6933,65.96,63.22,0.32,29.18,control,control16,0.54835,3.313299999999998,3.0
6380,6380,26.8133,1.1133,1.1133,0.3933,0.41,35.33,36.83,0.72,0.7033,64.67,63.17,0.31,27.84,control,control16,0.55665,4.4266000000000005,4.0
6381,6381,27.91,1.0967,1.0767,0.3833,0.36,34.95,33.44,0.7133,0.7167,65.05,66.56,0.3533,32.22,control,control16,0.54335,5.523299999999999,6.0
6382,6382,29.0467,1.1367,1.13,0.41,0.4067,36.07,35.99,0.7267,0.7233,63.93,64.01,0.32,28.15,control,control16,0.566675,6.66,7.0
6383,6383,30.18,1.1333,1.1467,0.38,0.4133,33.53,36.05,0.7533,0.7333,66.47,63.95,0.34,30.0,control,control16,0.5700000000000001,7.793299999999999,8.0
6384,6384,31.2667,1.0867,1.1033,0.3767,0.37,34.66,33.53,0.71,0.7333,65.34,66.47,0.34,31.29,control,control16,0.5475,8.879999999999999,9.0
6385,6385,32.3567,1.09,1.0733,0.41,0.3967,37.61,36.96,0.68,0.6767,62.39,63.04,0.2833,25.99,control,control16,0.540825,9.969999999999995,10.0
6386,6386,33.44,1.0833,1.11,0.3833,0.41,35.38,36.94,0.7,0.7,64.62,63.06,0.29,26.77,control,control16,0.548325,11.053299999999997,11.0
6387,6387,34.5233,1.0833,1.0767,0.3667,0.3867,33.85,35.91,0.7167,0.69,66.15,64.09,0.33,30.46,control,control16,0.54,12.136599999999998,12.0
6388,6388,35.6033,1.08,1.08,0.3633,0.39,33.64,36.11,0.7167,0.69,66.36,63.89,0.3267,30.25,control,control16,0.54,13.216599999999996,13.0
6389,6389,36.65,1.0467,1.0567,0.3867,0.3867,36.94,36.59,0.66,0.67,63.06,63.41,0.2733,26.11,control,control16,0.5258499999999999,14.263299999999997,14.0
6390,6390,37.7033,1.0533,1.0567,0.3833,0.3633,36.39,34.38,0.67,0.6933,63.61,65.62,0.3067,29.11,control,control16,0.5275,15.316599999999998,15.0
6391,6391,38.7533,1.05,1.06,0.38,0.3867,36.19,36.48,0.67,0.6733,63.81,63.52,0.2833,26.98,control,control16,0.5275000000000001,16.366600000000002,16.0
6392,6392,39.84,1.0867,1.06,0.3567,0.3633,32.82,34.28,0.73,0.6967,67.18,65.72,0.3667,33.74,control,control16,0.536675,17.453300000000002,17.0
6393,6393,40.87,1.03,1.0733,0.3633,0.3567,35.28,33.23,0.6667,0.7167,64.72,66.77,0.31,30.1,control,control16,0.525825,18.483299999999996,18.0
6394,6394,41.8967,1.0267,1.01,0.3567,0.35,34.74,34.65,0.67,0.66,65.26,65.35,0.32,31.17,control,control16,0.5091749999999999,19.51,20.0
6395,6395,42.9567,1.06,1.0467,0.3633,0.3733,34.28,35.67,0.6967,0.6733,65.72,64.33,0.3233,30.5,control,control16,0.526675,20.569999999999997,21.0
